Date,Price (Close),Volume,Bitcoin Price (Close),Ethereum (Google Interest),NFT (Google Interest),Obs
5-Oct-20,353.96,11809507622,10793.34,3,0,187
6-Oct-20,340.82,12830796112,10604.41,3,0,188
7-Oct-20,341.81,11929918060,10668.97,3,0,189
8-Oct-20,350.77,13461017711,10915.69,3,0,190
9-Oct-20,365.59,13043501763,11064.46,3,0,191
10-Oct-20,370.97,13618484324,11296.36,3,0,192
11-Oct-20,375.14,12584512533,11384.18,4,0,193
12-Oct-20,387.73,15867455424,11555.36,4,0,194
13-Oct-20,381.19,14226744838,11425.9,4,0,195
14-Oct-20,379.48,13918846567,11429.51,4,0,196
15-Oct-20,377.44,14964182545,11495.35,4,0,197
16-Oct-20,366.23,14670784817,11322.12,4,0,198
17-Oct-20,368.86,10951115359,11358.1,4,0,199
18-Oct-20,378.21,11047103109,11483.36,5,0,200
19-Oct-20,379.94,12811242092,11742.04,5,0,201
20-Oct-20,369.14,13741586582,11916.33,5,0,202
21-Oct-20,392.19,20241324322,12823.69,5,0,203
22-Oct-20,413.77,15772846485,12965.89,5,0,204
23-Oct-20,409.77,14256222052,12931.54,5,0,205
24-Oct-20,412.46,12201739194,13108.06,5,0,206
25-Oct-20,406.22,10890207469,13031.17,5,0,207
26-Oct-20,393.89,15155684229,13075.25,5,0,208
27-Oct-20,404,13940434102,13654.22,5,0,209
28-Oct-20,388.65,15276441134,13271.29,5,0,210
29-Oct-20,386.73,12920477749,13437.88,5,0,211
30-Oct-20,382.82,13688056970,13546.52,5,0,212
31-Oct-20,386.59,11276963426,13781,5,0,213
1-Nov-20,396.36,10475146018,13737.11,5,0,214
2-Nov-20,383.16,13997574252,13550.49,5,0,215
3-Nov-20,387.6,12588494762,13950.3,5,0,216
4-Nov-20,402.14,15126077675,14133.71,5,0,217
5-Nov-20,414.07,15440711038,15579.85,5,0,218
6-Nov-20,454.72,16738305610,15565.88,5,0,219
7-Nov-20,435.71,18873289788,14833.75,5,0,220
8-Nov-20,453.55,11292383601,15479.57,6,0,221
9-Nov-20,444.16,13704320630,15332.32,6,0,222
10-Nov-20,449.68,12090381666,15290.9,6,0,223
11-Nov-20,462.96,14075403511,15701.34,6,0,224
12-Nov-20,461.01,12877327234,16276.34,6,0,225
13-Nov-20,474.63,13191505725,16317.81,6,0,226
14-Nov-20,460.15,10312037942,16068.14,6,0,227
15-Nov-20,447.56,10308617165,15955.59,9,0,228
16-Nov-20,459.94,11441239444,16716.11,9,0,229
17-Nov-20,480.36,14593057877,17645.41,9,0,230
18-Nov-20,479.48,17880199224,17804.01,9,0,231
19-Nov-20,471.63,12473929218,17817.09,9,0,232
20-Nov-20,509.74,18629943296,18621.31,9,0,233
21-Nov-20,549.49,20757099184,18642.23,9,0,234
22-Nov-20,558.07,21967049601,18370,13,0,235
23-Nov-20,608.45,27272302872,18364.12,13,0,236
24-Nov-20,603.9,23281758100,19107.46,13,0,237
25-Nov-20,570.69,20088492893,18732.12,13,0,238
26-Nov-20,518.8,31104004592,17150.62,13,0,239
27-Nov-20,517.49,16831105703,17108.4,13,0,240
28-Nov-20,538.23,14770243833,17717.41,13,0,241
29-Nov-20,575.76,15017517758,18177.48,11,0,242
30-Nov-20,614.84,20276867833,19625.84,11,0,243
1-Dec-20,587.32,27178964465,18803,11,0,244
2-Dec-20,598.35,16883292129,19201.09,11,0,245
3-Dec-20,616.71,16146190946,19445.4,11,0,246
